core,slide,grid,name,total,genus,species,processed
HK14TLH1C,56_57,16,bicornucythere bisanensis ,5,bicornucythere,bisanensis,0
HK14TLH1C,56_57,16,pistocythereis bradyi,1,pistocythereis,bradyi,0
